,Ticker,Avg_Quotes,Avg_Trades,Avg_Spread
178,F,68660.28063241107,20449.537549407116,0.010844286896714607
399,Q,37398.90513833992,8493.474308300396,0.010956779880117885
171,ETFC,56404.201581027664,11078.110671936758,0.01097310488781145
378,PFE,174582.49802371542,35119.134387351776,0.010978547913993613
321,MOT,86045.41106719368,18842.93675889328,0.011037835641883556
27,AMD,69389.48221343874,15866.525691699604,0.011110202843854939
468,TLAB,53576.0790513834,7920.138339920949,0.011134840163666419
244,INTC,398167.49407114624,70758.88537549406,0.01117396097528815
477,TWX,126037.56126482213,23976.332015810276,0.011190886044080979
117,CSCO,376741.2924901186,67349.6719367589,0.011222754976212173
464,THC,30845.632411067192,5658.99209486166,0.011225107615805216
290,LSI,48572.28853754941,9642.304347826086,0.011272562498527046
328,MU,64658.387351778656,16278.367588932806,0.011272922435716053
160,EMC,124300.00395256917,29937.727272727272,0.01128282732637261
325,MSFT,456509.814229249,88840.60079051384,0.011355566095815055
344,NOVL,52441.93675889328,6049.351778656126,0.011357037987591578
254,JAVA,97887.10671936758,17524.106719367588,0.011378689137590983
362,ORCL,273523.54545454547,49878.03557312253,0.011411843328189501
420,S,71214.46640316205,23495.644268774704,0.011428379001541549
133,DELL,226280.3675889328,40750.482213438736,0.011530305224753628
26,AMAT,190176.56126482214,34270.67984189723,0.011553054259313427
433,SLE,48094.33596837945,6549.391304347826,0.011594175349246748
422,SBUX,145368.98418972333,23632.027667984188,0.011647706354601826
152,DYN,41354.62055335968,7818.498023715415,0.011657063879300163
148,DUK,86858.16600790514,11809.845849802372,0.011661585724781893
99,CMCSA,291774.09881422925,39258.92490118577,0.011683508179853723
247,IPG,36315.513833992096,6898.818181818182,0.01173182524092643
70,BSX,68683.10276679842,13764.241106719368,0.01175269924551323
202,GE,236232.90513833993,67397.75889328064,0.01176851701531868
454,SYMC,162875.79051383398,22522.387351778656,0.011854489251349366
73,C,353949.13833992096,109362.95256916997,0.011920099370539155
114,CPWR,52227.08300395257,6905.529644268775,0.011938946502493969
